id,class
Generated_Normal_45.png,1
Generated_Normal_46.png,1
Generated_Normal_47.png,1
Generated_Normal_48.png,1
Generated_Normal_49.png,1
Generated_Normal_5.png,1
Generated_Normal_50.png,1
Generated_Normal_6.png,1
Generated_Normal_7.png,1
Generated_Normal_8.png,1
Generated_Normal_9.png,1
Load_Fault_If01.png,1
Load_Fault_If02.png,1
Load_Fault_If10.png,1
Load_Fault_If12.png,1
Load_Fault_If20.png,1
Load_Fault_If21.png,1
Load_Fault_If32.png,1
Load_Fault_If40.png,1
Load_Fault_If51.png,1
One_PV_Fault_If01.png,1
One_PV_Fault_If02.png,1
One_PV_Fault_If10.png,1
One_PV_Fault_If12.png,1
One_PV_Fault_If20.png,1
One_PV_Fault_If21.png,1
One_PV_Fault_If32.png,1
One_PV_Fault_If40.png,1
One_PV_Fault_If51.png,1
Three_PV_Fault_IF_01.png,1
Three_PV_Fault_IF_02.png,1
Three_PV_Fault_IF_10.png,1
Three_PV_Fault_IF_12.png,1
Three_PV_Fault_IF_20.png,1
Three_PV_Fault_IF_21.png,1
Three_PV_Fault_IF_32.png,1
Three_PV_Fault_IF_40.png,1
Three_PV_Fault_IF_51.png,1
Two_PV_Fault_IF_01.png,1
Two_PV_Fault_IF_02.png,1
Two_PV_Fault_IF_10.png,1
Two_PV_Fault_IF_12.png,1
Two_PV_Fault_IF_20.png,1
Two_PV_Fault_IF_21.png,1
Two_PV_Fault_IF_32.png,1
Two_PV_Fault_IF_40.png,1
Two_PV_Fault_IF_51.png,1
